IATA Code,ICAO Code,Air Carrier Name
ZW,AWI,Air Wisconsin
AS,ASA,Alaska Airlines
G4,AAY,Allegiant Air LLC
AA,AAL,American Airlines
C5,UCA,Champlain Air
CP,CPZ,Compass Airlines
DL,DAL,"Delta Air Lines, Inc."
EM,CFS,Empire Airline
9E,EDV,Endeavor Air
MQ,ENY,Envoy Air
EV,ASQ,ExpressJet Airlines
F9,FFT,"Frontier Airlines, Inc."
G7,GJS,GoJet Airlines
HA,HAL,Hawaiian Airlines Inc.
QX,QXE,Horizon Air
B6,JBU,Jetblue Airways Corporation
OH,JIA,Jetstream Intl
YV,ASH,"Mesa Airlines, Inc."
KS,NLA,Penair
PT,PDT,Piedmont Airlines
YX,RPA,Republic Airlines
OO,SKW,Skywest Airlines
WN,SWA,Southwest Airlines
NK,NKS,"Spirit Airlines, Inc."
AX,LOF,Trans State
UA,UAL,"United Airlines, Inc."
VX,VRD,Virgin Airlines
